Poll,Poll type,Vote total,Liberal,Conservative,Green,NDP
1,Regular,234,40.6,46.58,10.26,1.71
2,Regular,191,31.41,49.74,15.71,1.57
3,Regular,158,39.87,40.51,17.09,0.63
4,Regular,243,37.45,36.21,23.46,0.82
5,Regular,211,27.49,43.13,25.59,2.84
6,Regular,204,26.96,47.06,24.02,1.47
7,Regular,208,23.56,53.85,19.71,1.92
8,Regular,153,33.99,45.75,19.61,0
9,Regular,229,23.14,42.36,30.13,1.75
10,Regular,215,30.23,53.49,14.42,0.47
11,Regular,120,22.5,48.33,25.83,0
12,Regular,151,26.49,41.72,27.81,0
13,Regular,87,33.33,35.63,29.89,1.15
14,Regular,136,25.74,38.24,28.68,4.41
15,Regular,139,18.71,49.64,28.06,2.88
16,Regular,139,28.06,43.88,23.02,2.88
17,Regular,134,29.85,29.85,39.55,0.75
18,Regular,135,32.59,43.7,20,2.22
19,Regular,143,26.57,40.56,27.27,4.2
20,Regular,101,22.77,48.51,23.76,1.98
21,Regular,108,30.56,35.19,26.85,3.7
22,Regular,144,24.31,37.5,34.03,1.39
23,Regular,108,26.85,34.26,32.41,3.7
24,Regular,154,20.78,38.31,36.36,1.95
25,Regular,187,29.41,33.69,34.22,2.14
26,Regular,174,21.84,46.55,27.59,2.3
27,Regular,134,17.91,38.81,35.07,5.22
28,Regular,190,15.26,45.26,36.32,2.11
29,Regular,204,25.49,34.31,37.75,0.98
30,Regular,135,25.93,51.85,20,2.22
31,Regular,144,29.17,45.83,23.61,1.39
32,Regular,206,32.04,39.32,26.7,0.49
33,Regular,206,33.98,42.23,21.36,0.49
34,Regular,117,26.5,44.44,26.5,1.71
35,Regular,124,25.81,47.58,17.74,4.03
36,Regular,185,32.43,35.68,30.27,0.54
37,Regular,139,21.58,44.6,29.5,2.16
38,Regular,152,25.66,52.63,20.39,1.32
39,Regular,199,21.61,56.28,19.6,2.01
40,Regular,183,28.96,50.27,18.58,0.55
41,Regular,181,24.86,50.83,23.76,0
42,Regular,193,27.98,52.85,15.03,0.52
43,Regular,253,24.9,59.29,11.46,0.79
44,Regular,214,26.64,54.21,16.36,1.87
45,Regular,115,29.57,41.74,24.35,3.48
46,Regular,140,25,40.71,27.86,2.14
47,Regular,130,16.15,40,35.38,5.38
48,Regular,146,23.29,50.68,21.92,3.42
49,Regular,130,32.31,50,13.08,3.85
50,Regular,195,32.31,30.26,29.23,6.15
51,Regular,193,23.83,38.86,35.75,0.52
52,Regular,155,21.94,27.74,46.45,3.23
53,Regular,176,25,28.98,42.61,2.84
54,Regular,165,24.85,26.67,43.64,4.24
55,Regular,166,21.69,22.29,54.82,1.2
56,Regular,143,25.17,32.17,42.66,0
57,Regular,182,23.63,25.82,50,0
58,Regular,203,23.15,31.03,44.83,0
59,Regular,255,26.27,44.31,26.67,1.57
60,Regular,183,29.51,41.53,24.04,3.28
61,Regular,248,23.39,39.52,34.68,0.81
62,Regular,194,25.26,38.14,32.99,2.58
63,Regular,203,17.73,45.81,33,2.96
64,Regular,211,18.96,37.44,41.23,0
65,Regular,205,27.32,37.56,30.73,3.9
66,Regular,165,33.94,33.33,32.12,0.61
67,Regular,117,17.09,51.28,28.21,0
68,Regular,247,23.48,41.7,33.2,0.81
69,Regular,165,25.45,33.94,35.76,2.42
70,Regular,138,22.46,40.58,34.78,0.72
71,Regular,144,31.94,44.44,22.22,0.69
72,Regular,129,31.78,42.64,21.71,0.78
73,Regular,115,35.65,44.35,16.52,2.61
74,Regular,281,22.06,29.18,45.2,1.42
75,Regular,129,27.13,31.01,37.21,3.1
76,Regular,128,21.09,24.22,50.78,3.13
